Added: 2020-05-24T02:48:57.126Z
TickerStatistics[symbol=IOTXUSDT,priceChange=0.00085400,priceChangePercent=23.962,weightedAvgPrice=0.00403136,prevClosePrice=0.00356400,lastPrice=0.00441800,bidPrice=0.00441400,askPrice=0.00442000,openPrice=0.00356400,highPrice=0.00456600,lowPrice=0.00348100,volume=541029816.00000000,openTime=1590202105075,closeTime=1590288505075,firstId=430582,lastId=443933,count=13352]
TickerStatistics[symbol=THETAUSDT,priceChange=0.06357000,priceChangePercent=23.756,weightedAvgPrice=0.29971854,prevClosePrice=0.26840000,lastPrice=0.33116000,bidPrice=0.33046000,askPrice=0.33215000,openPrice=0.26759000,highPrice=0.33900000,lowPrice=0.26076000,volume=27412416.10000000,openTime=1590202114647,closeTime=1590288514647,firstId=1326086,lastId=1364368,count=38283]
TickerStatistics[symbol=AMBBTC,priceChange=0.00000020,priceChangePercent=20.833,weightedAvgPrice=0.00000120,prevClosePrice=0.00000096,lastPrice=0.00000116,bidPrice=0.00000115,askPrice=0.00000116,openPrice=0.00000096,highPrice=0.00000137,lowPrice=0.00000094,volume=250075121.00000000,openTime=1590202111876,closeTime=1590288511876,firstId=5819096,lastId=5830224,count=11129]
TickerStatistics[symbol=FUELBTC,priceChange=0.00000005,priceChangePercent=18.519,weightedAvgPrice=0.00000031,prevClosePrice=0.00000027,lastPrice=0.00000032,bidPrice=0.00000031,askPrice=0.00000032,openPrice=0.00000027,highPrice=0.00000034,lowPrice=0.00000027,volume=509256077.00000000,openTime=1590202112197,closeTime=1590288512197,firstId=5897008,lastId=5901784,count=4777]
TickerStatistics[symbol=HOTBTC,priceChange=0.00000001,priceChangePercent=16.667,weightedAvgPrice=0.00000006,prevClosePrice=0.00000006,lastPrice=0.00000007,bidPrice=0.00000006,askPrice=0.00000007,openPrice=0.00000006,highPrice=0.00000007,lowPrice=0.00000005,volume=1129360592.00000000,openTime=1590202092990,closeTime=1590288492990,firstId=2644165,lastId=2646117,count=1953]
TickerStatistics[symbol=SNGLSBTC,priceChange=0.00000014,priceChangePercent=16.279,weightedAvgPrice=0.00000093,prevClosePrice=0.00000086,lastPrice=0.00000100,bidPrice=0.00000100,askPrice=0.00000101,openPrice=0.00000086,highPrice=0.00000104,lowPrice=0.00000084,volume=66954781.00000000,openTime=1590202057325,closeTime=1590288457325,firstId=5088026,lastId=5092974,count=4949]
TickerStatistics[symbol=PPTBTC,priceChange=0.00000473,priceChangePercent=14.870,weightedAvgPrice=0.00003432,prevClosePrice=0.00003166,lastPrice=0.00003654,bidPrice=0.00003627,askPrice=0.00003654,openPrice=0.00003181,highPrice=0.00003662,lowPrice=0.00003120,volume=1581400.00000000,openTime=1590202096005,closeTime=1590288496005,firstId=6131475,lastId=6138048,count=6574]
TickerStatistics[symbol=NPXSUSDT,priceChange=0.00001840,priceChangePercent=14.791,weightedAvgPrice=0.00013978,prevClosePrice=0.00012440,lastPrice=0.00014280,bidPrice=0.00014200,askPrice=0.00014270,openPrice=0.00012440,highPrice=0.00015820,lowPrice=0.00012320,volume=4718173998.00000000,openTime=1590202114565,closeTime=1590288514565,firstId=827699,lastId=831445,count=3747]
TickerStatistics[symbol=POLYBTC,priceChange=0.00000048,priceChangePercent=14.724,weightedAvgPrice=0.00000339,prevClosePrice=0.00000329,lastPrice=0.00000374,bidPrice=0.00000372,askPrice=0.00000374,openPrice=0.00000326,highPrice=0.00000392,lowPrice=0.00000311,volume=16624686.00000000,openTime=1590202111000,closeTime=1590288511000,firstId=4138165,lastId=4144900,count=6736]
TickerStatistics[symbol=COTIUSDT,priceChange=0.00307000,priceChangePercent=14.427,weightedAvgPrice=0.02257348,prevClosePrice=0.02124000,lastPrice=0.02435000,bidPrice=0.02422000,askPrice=0.02434000,openPrice=0.02128000,highPrice=0.02457000,lowPrice=0.02084000,volume=29455493.90000000,openTime=1590202110070,closeTime=1590288510070,firstId=385399,lastId=389510,count=4112]
